de	en	ru	fr	ko	ar
user.photo-drop	Drop the file	Отпустите файл	Déposez le fichier	파일을 삭제하세요.	قم بإسقاط الملف
user.delete-a	Delte your account	Удалить профиль	Supprimez votre compte	계정 삭제	احذف حسابك
user.delete-t	Deleting a profile	Удаление профиля			
user.delete-welcome	Dear user,	Уважаемый пользователь,			
user-delete-ifno	Deleting your profile will result in complete loss of all your data. Please note that this process is irreversible.	Удаление вашего профиля приведет к полной утрате всех ваших данных. Обратите внимание, что этот процесс необратим.			
user.delete-continue	If you want to continue, click the "Delete Profile" button.	Если вы хотите продолжить, нажмите кнопку "Удалить профиль".			
user.delete-final	Are you sure you want to delete your profile?	Вы уверены, что хотите удалить свой профиль?			
card.l-watch	Watch	Смотреть	Montre	보다	يشاهد
card.t-watch	Watch	Смотреть	Montre	보다	يشاهد
card.t-go	View	Перейти	Voir	보다	منظر
api.default-error	Film API error	Ошибка Film API	Erreur de l'API du film	영화 API 오류	خطأ في واجهة برمجة تطبيقات الفيلم
unauth.default-msg	The user does not have the required rights to view this page.	Пользователь не обладает требуемыми правами для просмотра данной страницы.	L'utilisateur ne dispose pas des droits requis pour visualiser cette page.	사용자에게 이 페이지를 보는 데 필요한 권한이 없습니다.	ليس لدى المستخدم الحقوق المطلوبة لعرض هذه الصفحة.
plural.film_zero					أفلام
plural.film_one	film	фильм	film	영화	فيلم
plural.film_two					أفلام
plural.film_few		фильма			أفلام
plural.film_many		фильмов			أفلام
plural.film_other	films		films	영화	أفلام
plural.star_zero					نجوم
plural.star_one	star	звезда	étoile		نجمة
plural.star_two					نجوم
plural.star_few		звезды			نجوم
plural.star_many		звёзд			نجوم
plural.star_other	stars		étoiles	별	النجوم
plural.results_zero					النتائج
plural.results_one	result	результат	résultat		نتيجة
plural.results_two					النتائج
plural.results_few		результата			نتائج
plural.results_many		результатов			نتائج
plural.results_other	results		résultats	결과	نتائج
plural.vote_zero					أصوات
plural.vote_one	vote	оценка	vote		تصويت
plural.vote_two					أصوات
plural.vote_few		оценки			أصوات
plural.vote_many		оценок			أصوات
plural.vote_other	votes		voix	투표	الأصوات
plural.review_zero					تعليقات
plural.review_one	revirew	рецензия	revoir		مراجعة
plural.review_two					تعليقات
plural.review_few		рецензии			تعليقات
plural.review_many		рецензий			تعليقات
plural.review_other	revirews		reviens	재검토하다	مراجعة
role.admin	Admin	Админ	Administrateur	관리자	مسؤل
role.admin-test	Admin-Trial	Админ-Тест	Essai d'administration	관리 평가판	المحاكمة الإدارية
role.user	User	Пользователь	Utilisateur	사용자	مستخدم
msg.welcome	Welcome!	Добро пожаловать!	Accueillir!	환영!	مرحباً!
msg.login-or-auth	Log in or register to use all the features of the service.	Войдите или зарегистрируйтесь для использования всех возможностей сервиса.	Connectez-vous ou inscrivez-vous pour utiliser toutes les fonctionnalités du service.	서비스의 모든 기능을 사용하려면 로그인하거나 등록하세요.	قم بتسجيل الدخول أو التسجيل لاستخدام كافة ميزات الخدمة.
privacy.t	Privacy	Конфиденциальность	Confidentialité	은둔	خصوصية
privacy.tos-and-policy-t	Privacy Policy and Terms of Service	Политика конфиденциальности и условия использования	Politique de confidentialité et conditions d'utilisation	개인정보 보호정책 및 서비스 약관	سياسة الخصوصية وشروط الخدمة
privacy.tos-t	Terms of Service	Условия использования	Conditions d'utilisation	서비스 약관	شروط الخدمة
privacy.tos-introduction-title	Introduction	Введение	Introduction	소개	مقدمة
privacy.tos-introduction-text	These terms of service ("Terms") govern your use of the Cinemaze application ("App"). Please read these Terms carefully before using the App.	Настоящие условия использования ("Условия") регулируют ваше использование приложения Cinemaze ("Приложение"). Пожалуйста, внимательно ознакомьтесь с этими Условиями перед использованием Приложения.	Ces conditions de service (« Conditions ») régissent votre utilisation de l'application Cinemaze (« Application »). Veuillez lire attentivement ces conditions avant d'utiliser l'application.	본 서비스 약관("약관")은 귀하의 Cinemaze 애플리케이션("앱") 사용에 적용됩니다. 앱을 사용하기 전에 본 약관을 주의 깊게 읽어보시기 바랍니다.	تحكم شروط الخدمة هذه ("الشروط") استخدامك لتطبيق Cinemaze ("التطبيق"). يرجى قراءة هذه الشروط بعناية قبل استخدام التطبيق.
privacy.tos-acceptable-use-title	Acceptable Use	Приемлемое использование	Utilisation acceptable	허용되는 사용	الاستخدام المقبول
privacy.tos-acceptable-use-text	You agree to use the App only for lawful purposes and not to infringe the rights of other users.	Вы соглашаетесь использовать Приложение только в законных целях и не нарушать права других пользователей.	Vous acceptez d'utiliser l'Application uniquement à des fins licites et de ne pas porter atteinte aux droits des autres utilisateurs.	귀하는 합법적인 목적으로만 앱을 사용하고 다른 사용자의 권리를 침해하지 않을 것에 동의합니다.	أنت توافق على استخدام التطبيق فقط للأغراض القانونية وعدم انتهاك حقوق المستخدمين الآخرين.
privacy.tos-prohibited-text	Prohibited actions:	Запрещено:	Actions interdites :	금지된 행위:	الإجراءات المحظورة:
privacy.tos-prohibited-item-1	Using the App to distribute malicious software.	Использовать Приложение для распространения вредоносного программного обеспечения.	Utiliser l'application pour distribuer des logiciels malveillants.	앱을 사용하여 악성 소프트웨어를 배포합니다.	استخدام التطبيق لتوزيع البرامج الضارة.
privacy.tos-prohibited-item-2	Using the App to violate copyrights or other intellectual property rights.	Использовать Приложение для нарушений авторских прав или других прав интеллектуальной собственности.	Utiliser l'application pour violer les droits d'auteur ou d'autres droits de propriété intellectuelle.	앱을 사용하여 저작권이나 기타 지적 재산권을 침해하는 행위.	استخدام التطبيق لانتهاك حقوق النشر أو حقوق الملكية الفكرية الأخرى.
privacy.tos-prohibited-item-3	Posting or distributing offensive, obscene, or illegal material.	Публиковать или распространять оскорбительные, непристойные или незаконные материалы.	Publier ou distribuer du matériel offensant, obscène ou illégal.	모욕적이거나 외설적이거나 불법적인 자료를 게시하거나 배포하는 행위.	نشر أو توزيع مواد مسيئة أو فاحشة أو غير قانونية.
privacy.tos-limitation-liability-title	Limitation of Liability	Ограничение ответственности	Limitation de responsabilité	책임의 제한	تحديد المسؤولية
privacy.tos-limitation-liability-text	We are not liable for any loss or damage resulting from your use of or inability to use the App. The App is provided "as is," without any warranties.	Мы не несем ответственности за любые убытки или ущерб, возникшие в результате использования или невозможности использования Приложения. Приложение предоставляется "как есть", без каких-либо гарантий.	Nous ne sommes pas responsables de toute perte ou dommage résultant de votre utilisation ou de votre incapacité à utiliser l'application. L'application est fournie « telle quelle », sans aucune garantie.	당사는 귀하가 앱을 사용하거나 사용할 수 없음으로 인해 발생하는 손실이나 피해에 대해 책임을 지지 않습니다. 앱은 어떠한 보증도 없이 "있는 그대로" 제공됩니다.	نحن لسنا مسؤولين عن أي خسارة أو ضرر ناتج عن استخدامك للتطبيق أو عدم قدرتك على استخدامه. يتم توفير التطبيق "كما هو"، دون أي ضمانات.
privacy.tos-intellectual-property-title	Intellectual Property	Интеллектуальная собственность	Propriété intellectuelle	지적 재산권	الملكية الفكرية
privacy.tos-intellectual-property-text	All rights to the content and software of the App are owned by Cinemaze or its licensors. Nothing in these Terms grants you any rights to use such materials beyond the use of the App.	Все права на контент и программное обеспечение Приложения принадлежат Cinemaze или его лицензиарам. Ничто в данных Условиях не предоставляет вам каких-либо прав на использование таких материалов, кроме как в рамках использования Приложения.	Tous les droits sur le contenu et les logiciels de l'application appartiennent à Cinemaze ou à ses concédants de licence. Rien dans les présentes Conditions ne vous accorde le droit d'utiliser ces éléments au-delà de l'utilisation de l'Application.	앱의 콘텐츠 및 소프트웨어에 대한 모든 권리는 Cinemaze 또는 해당 라이센스 제공자가 소유합니다. 본 약관의 어떠한 조항도 귀하에게 앱 사용 외에 해당 자료를 사용할 수 있는 권리를 부여하지 않습니다.	جميع حقوق المحتوى والبرامج الخاصة بالتطبيق مملوكة لشركة Cinemaze أو الجهات المرخصة لها. لا يوجد في هذه الشروط ما يمنحك أي حقوق لاستخدام هذه المواد بما يتجاوز استخدام التطبيق.
privacy.tos-changes-title	Changes to Terms	Изменения в условиях	Modifications des conditions	약관 변경	التغييرات في الشروط
privacy.tos-changes-text	We reserve the right to modify these Terms at any time. Updated Terms will be posted on this page and will take effect upon posting. Continued use of the App after changes signifies your acceptance of the new Terms.	Мы оставляем за собой право изменять эти Условия в любое время. Обновленные Условия будут опубликованы на этой странице и вступят в силу с момента публикации. Продолжение использования Приложения после изменений означает ваше согласие с новыми Условиями.	Nous nous réservons le droit de modifier les présentes Conditions à tout moment. Les conditions mises à jour seront publiées sur cette page et entreront en vigueur dès leur publication. L'utilisation continue de l'application après les modifications signifie votre acceptation des nouvelles conditions.	당사는 언제든지 본 약관을 수정할 권리를 보유합니다. 업데이트된 약관은 이 페이지에 게시되며 게시 즉시 적용됩니다. 변경 후에도 앱을 계속 사용하면 새 약관에 동의하는 것으로 간주됩니다.	نحن نحتفظ بالحق في تعديل هذه الشروط في أي وقت. سيتم نشر الشروط المحدثة على هذه الصفحة وستدخل حيز التنفيذ عند النشر. إن استمرار استخدام التطبيق بعد التغييرات يعني موافقتك على الشروط الجديدة.
privacy.tos-contact-info-title	Contact Information	Контактная информация	Coordonnées	연락처 정보	معلومات الاتصال
privacy.tos-contact-info-text	If you have any questions about our Terms, please contact us at:	Если у вас есть вопросы по поводу наших Условий, пожалуйста, свяжитесь с нами по адресу:	Si vous avez des questions concernant nos conditions, veuillez nous contacter à :	약관에 대해 질문이 있는 경우 다음 주소로 문의해 주세요.	إذا كان لديك أي أسئلة حول شروطنا، يرجى الاتصال بنا على:
privacy.policy-t	Privacy Policy	Политика конфиденциальности	politique de confidentialité	개인 정보 정책	سياسة الخصوصية
privacy.policy-introduction-title	Introduction	Введение	Introduction	소개	مقدمة
privacy.policy-introduction-text	Your privacy is important to us. This privacy policy explains what data we collect, how we use it, and how we protect your information.	Ваше конфиденциальность важна для нас. В данной политике конфиденциальности объясняется, какие данные мы собираем, как мы их используем и как мы защищаем вашу информацию.	Votre vie privée est importante pour nous. Cette politique de confidentialité explique quelles données nous collectons, comment nous les utilisons et comment nous protégeons vos informations.	귀하의 개인정보는 우리에게 중요합니다. 본 개인정보 보호정책은 당사가 수집하는 데이터, 사용 방법 및 귀하의 정보를 보호하는 방법을 설명합니다.	خصوصيتك مهمة بالنسبة لنا. تشرح سياسة الخصوصية هذه البيانات التي نجمعها، وكيف نستخدمها، وكيف نحمي معلوماتك.
privacy.policy-data-collection-title	Data Collection	Сбор данных	Collecte de données	데이터 수집	جمع البيانات
privacy.policy-data-collection-text	We may collect the following types of data:	Мы можем собирать следующие типы данных:	Nous pouvons collecter les types de données suivants :	당사는 다음 유형의 데이터를 수집할 수 있습니다.	قد نقوم بجمع الأنواع التالية من البيانات:
privacy.policy-data-collection-item-1	Personal information (e.g., name, email address)	Личная информация (например, имя, адрес электронной почты)	Informations personnelles (par exemple, nom, adresse e-mail)	개인정보(예: 이름, 이메일 주소)	المعلومات الشخصية (مثل الاسم وعنوان البريد الإلكتروني)
privacy.policy-data-collection-item-2	App usage data (e.g., actions within the app)	Данные об использовании приложения (например, действия в приложении)	Données d'utilisation de l'application (par exemple, actions au sein de l'application)	앱 사용 데이터(예: 앱 내 작업)	بيانات استخدام التطبيق (على سبيل المثال، الإجراءات داخل التطبيق)
privacy.policy-data-usage-title	Data Usage	Использование данных	L'utilisation de données	데이터 사용량	استخدام البيانات
privacy.policy-data-usage-text	We use the collected data for:	Мы используем собранные данные для:	Nous utilisons les données collectées pour :	당사는 수집된 데이터를 다음 목적으로 사용합니다.	نحن نستخدم البيانات التي تم جمعها من أجل:
privacy.policy-data-usage-item-1	Providing and improving our services	Предоставления и улучшения наших услуг	Fournir et améliorer nos services	서비스 제공 및 개선	تقديم خدماتنا وتحسينها
privacy.policy-data-usage-item-2	Ensuring user security	Обеспечения безопасности пользователей	Assurer la sécurité des utilisateurs	사용자 보안 보장	ضمان أمن المستخدم
privacy.policy-data-usage-item-3	Communicating with users regarding app usage	Связи с пользователями по вопросам, связанным с использованием приложения	Communiquer avec les utilisateurs concernant l'utilisation de l'application	앱 사용에 관해 사용자와 소통	التواصل مع المستخدمين بخصوص استخدام التطبيق
privacy.policy-data-transfer-title	Data Transfer	Передача данных	Transfert de données	데이터 전송	نقل البيانات
privacy.policy-data-transfer-text	We do not share your data with third parties, except as required by law or necessary to provide our services.	Мы не передаем ваши данные третьим лицам, за исключением случаев, предусмотренных законом или необходимых для предоставления наших услуг.	Nous ne partageons pas vos données avec des tiers, sauf si la loi l'exige ou si cela est nécessaire pour fournir nos services.	당사는 법률에서 요구하거나 서비스 제공에 필요한 경우를 제외하고 귀하의 데이터를 제3자와 공유하지 않습니다.	نحن لا نشارك بياناتك مع أطراف ثالثة، باستثناء ما يقتضيه القانون أو ضروري لتقديم خدماتنا.
privacy.policy-data-security-title	Data Security	Безопасность данных	Sécurité des données	데이터 보안	أمن البيانات
privacy.policy-data-security-text	We take reasonable measures to protect your data from unauthorized access, alteration, or destruction.	Мы принимаем разумные меры для защиты ваших данных от несанкционированного доступа, изменения или уничтожения.	Nous prenons des mesures raisonnables pour protéger vos données contre tout accès, modification ou destruction non autorisés.	당사는 귀하의 데이터를 무단 접근, 변경 또는 파기로부터 보호하기 위해 합리적인 조치를 취합니다.	نحن نتخذ تدابير معقولة لحماية بياناتك من الوصول غير المصرح به أو التغيير أو التدمير.
privacy.policy-user-rights-title	User Rights	Права пользователей	Droits de l'utilisateur	사용자 권리	حقوق المستخدم
privacy.policy-user-rights-text	You have the right to access, modify, or delete your data. To exercise these rights, please contact us at the address below.	Вы имеете право на доступ к своим данным, их изменение или удаление. Для реализации этих прав свяжитесь с нами по указанному ниже адресу.	Vous disposez d'un droit d'accès, de modification ou de suppression de vos données. Pour exercer ces droits, veuillez nous contacter à l'adresse ci-dessous.	귀하는 귀하의 데이터에 접근, 수정, 삭제할 권리가 있습니다. 이러한 권리를 행사하려면 아래 주소로 문의하시기 바랍니다.	لديك الحق في الوصول إلى بياناتك أو تعديلها أو حذفها. لممارسة هذه الحقوق، يرجى الاتصال بنا على العنوان أدناه.
privacy.policy-contact-info-title	Contact Information	Контактная информация	Coordonnées	연락처 정보	معلومات الاتصال
privacy.policy-contact-info-text	If you have any questions about our privacy policy, please contact us at:	Если у вас есть вопросы по поводу нашей политики конфиденциальности, свяжитесь с нами по адресу:	Si vous avez des questions concernant notre politique de confidentialité, veuillez nous contacter à :	당사의 개인 정보 보호 정책에 대해 질문이 있는 경우 다음 주소로 문의해 주십시오.	إذا كان لديك أي أسئلة حول سياسة الخصوصية لدينا، يرجى الاتصال بنا على:
select.placeholder	Select an option	Выберите вариант	Choisir une option	옵션을 선택하세요	حدد اختيارا
select.country	Choose the country	Выберите страну	Choisissez le pays	국가를 선택하세요	اختر البلد
select.genre	Choose the genre	Выберите жанр	Choisissez le genre	장르를 선택하세요	اختر النوع
modal.notification-t	Notificiation	Уведомление	Notification	알림	الإخطار
modal.soon-t	Feature coming soon	Функция скоро появится	Fonctionnalité à venir	기능이 곧 제공될 예정입니다.	الميزة قريبا
modal.soon-m	Thank you for your interest in this feature. We are working hard to bring it to you, but it is not yet available. Please check back later for updates.	Благодарим вас за интерес к этой функции. Мы прилагаем все усилия, чтобы донести его до вас, но он пока недоступен. Пожалуйста, зайдите позже за обновлениями.	Merci de votre intérêt pour cette fonctionnalité. Nous travaillons dur pour vous le proposer, mais il n'est pas encore disponible. Merci de vérifier ultérieurement les mises à jour.	이 기능에 관심을 가져주셔서 감사합니다. 우리는 그것을 당신에게 제공하기 위해 열심히 노력하고 있지만 아직 사용할 수 없습니다. 나중에 다시 업데이트를 확인해 주세요.	شكرا لاهتمامك بهذه الميزة. نحن نعمل جاهدين على توفيره لكم، ولكنه غير متوفر بعد. من فضلك تحقق مره اخرى لاحقا من اجل التحديثات.
